Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Data_Driven_Suite_Demo,Chrome 129.0.0.0,,,14-10-2024 16:10:55,14-10-2024 16:11:08,12.947s,FAILED
,,,,,,,
Test Cases/Data_Driven/Data-Driven_Demo,Chrome 129.0.0.0,,,14-10-2024 16:10:55,14-10-2024 16:11:04,8.600s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,14-10-2024 16:10:55,14-10-2024 16:10:58,3.253s,PASSED
maximizeWindow(),Chrome 129.0.0.0,,,14-10-2024 16:10:58,14-10-2024 16:10:59,0.166s,PASSED
"navigateToUrl(""https://www.saucedemo.com/v1/"")",Chrome 129.0.0.0,,,14-10-2024 16:10:59,14-10-2024 16:10:59,0.610s,PASSED
"setText(findTestObject(""Object Repository/Data_Driven_Objects/input_standard_userlocked_out_userproblem_u_db77ac""), Username)",Chrome 129.0.0.0,,,14-10-2024 16:10:59,14-10-2024 16:11:00,0.918s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Data_Driven_Objects/input_standard_userlocked_out_userproblem_u_3423e9""), Password)",Chrome 129.0.0.0,,,14-10-2024 16:11:00,14-10-2024 16:11:01,0.443s,PASSED
"click(findTestObject(""Object Repository/Data_Driven_Objects/input_standard_userlocked_out_userproblem_u_0dff71""))",Chrome 129.0.0.0,,,14-10-2024 16:11:01,14-10-2024 16:11:02,0.939s,PASSED
"click(findTestObject(""Object Repository/Data_Driven_Objects/button_Open Menu""))",Chrome 129.0.0.0,,,14-10-2024 16:11:02,14-10-2024 16:11:02,0.354s,PASSED
"click(findTestObject(""Object Repository/Data_Driven_Objects/a_Logout""))",Chrome 129.0.0.0,,,14-10-2024 16:11:02,14-10-2024 16:11:02,0.392s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,14-10-2024 16:11:02,14-10-2024 16:11:04,1.209s,PASSED
,,,,,,,
Test Cases/Data_Driven/Data-Driven_Demo,Chrome 129.0.0.0,,,14-10-2024 16:11:04,14-10-2024 16:11:08,4.065s,FAILED
"openBrowser("""")",Chrome 129.0.0.0,,,14-10-2024 16:11:04,14-10-2024 16:11:06,2.516s,PASSED
maximizeWindow(),Chrome 129.0.0.0,,,14-10-2024 16:11:06,14-10-2024 16:11:06,0.048s,PASSED
"navigateToUrl(""https://www.saucedemo.com/v1/"")",Chrome 129.0.0.0,,,14-10-2024 16:11:06,14-10-2024 16:11:07,1.178s,PASSED
"setText(findTestObject(""Object Repository/Data_Driven_Objects/input_standard_userlocked_out_userproblem_u_db77ac""), Username)",Chrome 129.0.0.0,,,14-10-2024 16:11:07,14-10-2024 16:11:08,0.290s,FAILED
