Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Data_Driven_Excel_Suite,Chrome 129.0.0.0,,,15-10-2024 10:37:23,15-10-2024 10:37:45,22.114s,FAILED
,,,,,,,
Test Cases/Data_Driven/Data-Driven_Demo_Excel,Chrome 129.0.0.0,,,15-10-2024 10:37:23,15-10-2024 10:37:35,11.313s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,15-10-2024 10:37:24,15-10-2024 10:37:28,4.686s,PASSED
maximizeWindow(),Chrome 129.0.0.0,,,15-10-2024 10:37:28,15-10-2024 10:37:28,0.090s,PASSED
"navigateToUrl(""https://www.saucedemo.com/v1/"")",Chrome 129.0.0.0,,,15-10-2024 10:37:28,15-10-2024 10:37:30,1.177s,PASSED
"setText(findTestObject(""Object Repository/Data_Driven_Objects/input_standard_userlocked_out_userproblem_u_db77ac""), Username)",Chrome 129.0.0.0,,,15-10-2024 10:37:30,15-10-2024 10:37:31,0.986s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Data_Driven_Objects/input_standard_userlocked_out_userproblem_u_3423e9""), Password)",Chrome 129.0.0.0,,,15-10-2024 10:37:31,15-10-2024 10:37:31,0.449s,PASSED
"click(findTestObject(""Object Repository/Data_Driven_Objects/input_standard_userlocked_out_userproblem_u_0dff71""))",Chrome 129.0.0.0,,,15-10-2024 10:37:31,15-10-2024 10:37:33,1.550s,PASSED
"click(findTestObject(""Object Repository/Data_Driven_Objects/button_Open Menu""))",Chrome 129.0.0.0,,,15-10-2024 10:37:33,15-10-2024 10:37:33,0.352s,PASSED
"click(findTestObject(""Object Repository/Data_Driven_Objects/a_Logout""))",Chrome 129.0.0.0,,,15-10-2024 10:37:33,15-10-2024 10:37:33,0.435s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,15-10-2024 10:37:33,15-10-2024 10:37:35,1.152s,PASSED
,,,,,,,
Test Cases/Data_Driven/Data-Driven_Demo_Excel,Chrome 129.0.0.0,,,15-10-2024 10:37:35,15-10-2024 10:37:45,10.455s,FAILED
"openBrowser("""")",Chrome 129.0.0.0,,,15-10-2024 10:37:35,15-10-2024 10:37:37,2.307s,PASSED
maximizeWindow(),Chrome 129.0.0.0,,,15-10-2024 10:37:37,15-10-2024 10:37:37,0.046s,PASSED
"navigateToUrl(""https://www.saucedemo.com/v1/"")",Chrome 129.0.0.0,,,15-10-2024 10:37:37,15-10-2024 10:37:38,0.617s,PASSED
"setText(findTestObject(""Object Repository/Data_Driven_Objects/input_standard_userlocked_out_userproblem_u_db77ac""), Username)",Chrome 129.0.0.0,,,15-10-2024 10:37:38,15-10-2024 10:37:39,0.888s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Data_Driven_Objects/input_standard_userlocked_out_userproblem_u_3423e9""), Password)",Chrome 129.0.0.0,,,15-10-2024 10:37:39,15-10-2024 10:37:39,0.336s,PASSED
"click(findTestObject(""Object Repository/Data_Driven_Objects/input_standard_userlocked_out_userproblem_u_0dff71""))",Chrome 129.0.0.0,,,15-10-2024 10:37:39,15-10-2024 10:37:39,0.337s,PASSED
"click(findTestObject(""Object Repository/Data_Driven_Objects/button_Open Menu""))",Chrome 129.0.0.0,,,15-10-2024 10:37:39,15-10-2024 10:37:45,5.872s,FAILED
