Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Command_Line_Suit,Chrome 129.0.0.0,,,15-10-2024 10:40:48,15-10-2024 10:41:03,15.412s,PASSED
,,,,,,,
Test Cases/Command_Line/Command_Line_Demo,Chrome 129.0.0.0,,,15-10-2024 10:40:48,15-10-2024 10:41:03,15.191s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,15-10-2024 10:40:48,15-10-2024 10:40:53,4.590s,PASSED
maximizeWindow(),Chrome 129.0.0.0,,,15-10-2024 10:40:53,15-10-2024 10:40:53,0.099s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 129.0.0.0,,,15-10-2024 10:40:53,15-10-2024 10:40:54,1.207s,PASSED
"verifyTextPresent(""Login"", false)",Chrome 129.0.0.0,,,15-10-2024 10:40:54,15-10-2024 10:40:57,2.941s,PASSED
"setText(findTestObject(""Manual_Script_Mode_Objects/input_Username_username""), ""Admin"")",Chrome 129.0.0.0,,,15-10-2024 10:40:57,15-10-2024 10:40:57,0.717s,PASSED
"setEncryptedText(findTestObject(""Manual_Script_Mode_Objects/input_Password_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 129.0.0.0,,,15-10-2024 10:40:57,15-10-2024 10:40:58,0.433s,PASSED
"click(findTestObject(""Manual_Script_Mode_Objects/button_Login""))",Chrome 129.0.0.0,,,15-10-2024 10:40:58,15-10-2024 10:40:59,1.467s,PASSED
delay(2),Chrome 129.0.0.0,,,15-10-2024 10:40:59,15-10-2024 10:41:01,2.020s,PASSED
"verifyTextPresent(""Dashboard"", false)",Chrome 129.0.0.0,,,15-10-2024 10:41:01,15-10-2024 10:41:02,0.341s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,15-10-2024 10:41:02,15-10-2024 10:41:03,1.210s,PASSED
