Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ALL_Cases,Firefox 129.0,,,15-10-2024 10:44:10,15-10-2024 10:45:01,51.774s,PASSED
,,,,,,,
Test Cases/Record_Mode_Cases/Record_Demo_Test_Case,Firefox 129.0,Use Spy Web functionality to get Objects,Spy Web,15-10-2024 10:44:10,15-10-2024 10:44:36,25.837s,PASSED
"openBrowser("""")",Firefox 129.0,,,15-10-2024 10:44:10,15-10-2024 10:44:19,8.901s,PASSED
maximizeWindow(),Firefox 129.0,,,15-10-2024 10:44:19,15-10-2024 10:44:19,0.370s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Firefox 129.0,,,15-10-2024 10:44:19,15-10-2024 10:44:24,4.890s,PASSED
"click(findTestObject(""Object Repository/Record_Mode_Objects/a_Make Appointment""))",Firefox 129.0,,,15-10-2024 10:44:24,15-10-2024 10:44:25,0.830s,PASSED
"setText(findTestObject(""Object Repository/Record_Mode_Objects/input_Username_username""), ""John Doe"")",Firefox 129.0,,,15-10-2024 10:44:25,15-10-2024 10:44:26,0.833s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Record_Mode_Objects/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Firefox 129.0,,,15-10-2024 10:44:26,15-10-2024 10:44:26,0.304s,PASSED
"click(findTestObject(""Object Repository/Record_Mode_Objects/button_Login""))",Firefox 129.0,,,15-10-2024 10:44:26,15-10-2024 10:44:27,0.829s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Record_Mode_Objects/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Firefox 129.0,,,15-10-2024 10:44:27,15-10-2024 10:44:28,1.345s,PASSED
"click(findTestObject(""Object Repository/Record_Mode_Objects/input_Apply for hospital readmission_hospit_63901f""))",Firefox 129.0,,,15-10-2024 10:44:28,15-10-2024 10:44:29,0.485s,PASSED
"click(findTestObject(""Object Repository/Record_Mode_Objects/input_None_programs""))",Firefox 129.0,,,15-10-2024 10:44:29,15-10-2024 10:44:29,0.483s,PASSED
